1 2 4 13
1 2 7 16
1 2 8 17
1 2 11 13
1 2 11 16
1 2 11 17
1 3 4 13
1 3 5 14
1 3 6 15
1 3 12 13
1 3 12 14
1 3 12 15
1 5 6 15
1 5 14 15
1 7 8 17
1 7 16 17
1 10 11 13
1 10 11 16
1 10 11 17
1 10 12 13
1 10 12 14
1 10 12 15
1 10 14 15
1 10 16 17
2 3 5 14
2 3 7 16
2 3 8 17
2 3 12 14
2 3 12 16
2 3 12 17
2 4 5 14
2 4 13 14
2 11 12 14
2 11 12 16
2 11 12 17
2 11 13 14
3 4 8 17
3 4 13 17
3 6 7 16
3 6 15 16
3 12 13 17
3 12 15 16
4 5 6 15
4 5 14 15
4 6 8 17
4 6 15 17
4 13 14 15
4 13 15 17
6 7 8 17
6 7 16 17
6 15 16 17
