0 1 6 11
0 1 6 21
0 1 6 27
0 1 6 29
0 1 11 29
0 1 21 30
0 1 27 30
0 6 20 21
0 20 21 30
1 2 6 10
1 2 6 18
1 2 6 21
1 2 6 31
1 6 10 27
1 6 11 18
1 6 29 31
1 10 24 30
1 10 27 30
1 11 18 29
1 18 29 31
1 21 24 30
2 5 6 7
2 5 6 8
2 5 6 18
2 5 6 31
2 6 7 9
2 6 7 22
2 6 7 25
2 6 8 9
2 6 8 13
2 6 8 25
2 6 9 10
2 6 9 16
2 6 9 24
2 6 10 24
2 6 10 25
2 6 13 16
2 6 13 18
2 6 13 31
2 6 14 18
2 6 14 21
2 6 14 24
2 6 14 31
2 6 16 22
2 6 16 25
2 6 18 21
2 6 18 22
2 6 21 31
2 6 22 31
2 6 24 25
3 6 11 14
3 6 14 20
3 6 14 29
3 6 14 30
3 11 14 29
3 14 20 30
4 5 6 11
4 5 6 19
4 5 6 28
4 5 6 29
4 5 11 29
4 5 19 28
5 6 7 28
5 6 8 19
5 6 11 18
5 6 29 31
5 7 8 28
5 8 19 28
5 11 18 29
5 18 29 31
6 7 9 12
6 7 12 28
6 7 22 28
6 7 23 25
6 7 23 28
6 8 9 12
6 8 12 19
6 8 13 17
6 8 17 19
6 8 19 23
6 8 23 25
6 9 10 12
6 9 12 16
6 9 12 24
6 10 12 27
6 10 23 25
6 10 23 27
6 10 24 30
6 10 27 30
6 11 13 17
6 11 13 18
6 11 14 18
6 11 18 21
6 11 18 22
6 11 20 21
6 11 22 26
6 12 15 16
6 12 24 30
6 13 15 16
6 13 15 17
6 13 17 29
6 13 29 31
6 14 20 21
6 14 24 30
6 14 29 31
6 15 16 23
6 15 16 26
6 16 22 26
6 16 23 25
6 20 21 29
6 21 29 31
6 22 26 28
6 22 26 29
6 22 29 31
6 23 24 25
6 23 24 30
7 8 13 28
7 9 12 23
7 9 23 25
7 12 23 28
7 13 16 28
7 16 22 28
8 9 12 23
8 9 23 25
8 12 19 23
8 13 17 28
8 17 19 28
9 10 12 23
9 10 23 25
9 12 16 23
9 12 23 24
9 16 23 25
9 23 24 25
10 12 23 27
11 13 17 29
11 13 18 29
11 14 18 29
11 18 21 29
11 18 22 29
11 20 21 29
11 22 26 29
12 15 16 23
12 23 24 30
13 15 16 28
13 15 17 28
13 18 29 31
14 18 29 31
14 20 21 30
14 21 24 30
15 16 26 28
16 22 26 28
18 21 29 31
18 22 29 31
